PayerID,Code,Allowed_Per_Unit
P001,80050,104.32
P002,80050,91.86
P003,80050,127.87
P004,80050,87.11
P005,80050,56.61
P001,85025,29.38
P002,85025,20.92
P003,85025,28.06
P004,85025,16.77
P005,85025,22.8
P001,71020,47.45
P002,71020,51.23
P003,71020,66.59
P004,71020,46.96
P005,71020,51.69
P001,74177,445.2
P002,74177,753.72
P003,74177,537.55
P004,74177,360.48
P005,74177,478.83
P001,99283,219.36
P002,99283,286.71
P003,99283,296.34
P004,99283,204.51
P005,99283,132.26
P001,99284,346.05
P002,99284,469.4
P003,99284,403.67
P004,99284,322.65
P005,99284,243.71
P001,J1885,29.17
P002,J1885,27.72
P003,J1885,20.81
P004,J1885,18.29
P005,J1885,18.33
P001,J0696,13.56
P002,J0696,20.21
P003,J0696,11.93
P004,J0696,12.94
P005,J0696,10.13
P001,12001,162.99
P002,12001,251.05
P003,12001,264.54
P004,12001,199.1
P005,12001,165.84
P001,93000,41.26
P002,93000,40.92
P003,93000,37.95
P004,93000,35.17
P005,93000,27.96
P001,A4649,35.57
P002,A4649,54.79
P003,A4649,53.16
P004,A4649,41.66
P005,A4649,29.73
P001,97110,86.1
P002,97110,55.08
P003,97110,76.16
P004,97110,45.51
P005,97110,59.05
P001,97165,80.28
P002,97165,87.85
P003,97165,97.02
P004,97165,59.22
P005,97165,69.98
P001,J1100,6.43
P002,J1100,6.22
P003,J1100,6.36
P004,J1100,3.63
P005,J1100,4.17
P001,J2405,7.5
P002,J2405,4.59
P003,J2405,4.68
P004,J2405,3.68
P005,J2405,4.03
